序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
2991,002007,华兰生物,23.29,0.04,0.01,140420.0,325695972.35,2.28,23.43,22.9,23.24,23.28,1.06,0.89,30.2,3.95,42489501049.0,36648838761.0,0.09,0.0,3.79,2.92
2992,300789,唐源电气,23.91,0.04,0.01,9591.0,22889774.0,2.55,24.24,23.63,23.95,23.9,0.68,1.68,86.27,2.21,1994770796.0,1362482323.0,0.0,0.04,2.79,36.86
2993,688092,爱科科技,25.6,0.04,0.01,7774.0,20044478.0,2.58,26.1,25.44,25.9,25.59,1.26,2.88,37.83,2.78,1518047514.0,690624998.0,-0.12,-0.08,-7.08,10.25
2994,301327,华宝新能,106.14,0.04,0.04,10261.0,109566787.32,1.82,107.82,105.89,106.51,106.1,0.5,4.18,-85.85,1.6,10189440000.0,2604852429.0,0.03,0.02,-44.68,-43.62
2995,603566,普莱柯,26.59,0.04,0.01,27406.0,73174124.0,3.88,27.29,26.26,26.74,26.58,1.16,0.78,35.84,3.28,9384051676.0,9339393877.0,0.04,-0.11,-16.51,-2.81
2996,300946,恒而达,29.82,0.03,0.01,4049.0,12094737.2,1.74,30.12,29.6,29.88,29.81,0.81,1.19,32.12,3.29,3578578920.0,1018233720.0,0.0,0.1,-6.7,4.12
2997,300791,仙乐健康,35.19,0.03,0.01,19611.0,69483063.72,3.84,36.0,34.65,34.83,35.18,1.16,1.28,54.01,2.59,6351700691.0,5372594647.0,-0.31,-0.57,-4.69,-4.3
2998,870508,丰安股份,7.92,0.0,0.0,266.0,210321.42,0.76,7.93,7.87,7.87,7.92,0.98,0.12,14.3,1.1,492940800.0,182195331.0,0.13,0.13,-11.9,-9.28
2999,839371,欧福蛋业,3.2,0.0,0.0,9065.0,2892665.33,2.81,3.24,3.15,3.2,3.2,1.68,2.07,13.34,1.28,657425715.0,140098470.0,0.0,0.0,-29.98,-33.05
3000,837046,亿能电力,4.86,0.0,0.0,1140.0,547450.22,1.44,4.86,4.79,4.8,4.86,0.89,0.65,13.85,1.5,351135000.0,85351101.0,1.25,0.41,-14.74,-3.95
