序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
4664,603599,广信股份,28.42,-2.7,-0.79,41225.0,117338498.0,2.98,29.1,28.23,29.1,29.21,1.06,0.64,8.86,2.01,18480258155.0,18445663171.0,0.07,0.35,-10.74,-3.33
4665,873001,纬达光电,6.83,-2.71,-0.19,3766.0,2580128.35,3.7,7.05,6.79,7.05,7.02,7.02,1.22,30.06,1.39,1049471873.0,209963359.0,-0.15,0.15,-13.54,-4.61
4666,600600,青岛啤酒,113.63,-2.71,-3.17,37709.0,435890765.0,3.67,117.63,113.34,116.8,116.8,1.27,0.54,26.7,5.74,155017771928.0,79572026103.0,-0.11,-0.35,9.17,5.7
4667,300541,先进数通,13.62,-2.71,-0.38,138145.0,190783266.33,6.07,14.35,13.5,13.9,14.0,0.67,5.42,137.37,3.32,4200808401.0,3471376947.0,0.29,0.44,3.18,20.0
4668,600225,卓朗科技,4.29,-2.72,-0.12,153938.0,66546844.0,2.72,4.4,4.28,4.4,4.41,1.49,0.45,-1039.37,6.67,14634881817.0,14623861030.0,0.23,0.23,-42.49,-32.65
4669,002138,顺络电子,21.44,-2.72,-0.6,43274.0,93500874.13,3.27,22.09,21.37,21.93,22.04,0.8,0.6,53.66,3.17,17287465510.0,15550500415.0,0.14,0.14,-25.14,-17.47
4670,688561,奇安信-U,57.48,-2.72,-1.61,38149.0,221455458.0,5.31,60.2,57.06,59.0,59.09,1.28,0.82,-18.45,4.1,39379454595.0,26648292166.0,-0.02,0.07,-28.08,-12.6
4671,300582,英飞特,12.85,-2.73,-0.36,49491.0,64120877.0,2.35,13.14,12.83,13.14,13.21,0.91,2.25,-64.14,2.31,3817849751.0,2825319631.0,0.08,0.16,-10.58,2.07
4672,600873,梅花生物,9.28,-2.73,-0.26,143899.0,134313695.0,1.89,9.43,9.25,9.32,9.54,2.2,0.49,8.53,2.11,27314994227.0,27314994227.0,-0.11,-0.11,-10.6,-8.84
4673,603551,奥普家居,11.4,-2.73,-0.32,15199.0,17463325.0,3.5,11.77,11.36,11.76,11.72,0.84,0.38,19.09,2.88,4579380000.0,4550412600.0,0.18,0.18,0.71,16.92
